backend;backend_efectivo;exactitud;f1_macro;f1_dolor;f1_miedo;f1_alegria;f1_calma;mae_indice_malestar;latencia_mediana_ms;latencia_p95_ms;fps_equivalente;no_detectados_pct;n_muestras
mediapipe;mediapipe;0.5532512084827694;0.4430855257772467;0.056603773584905655;0.22861710631494805;0.8010103845074376;0.5042451088962716;0.222346410429534;18.26250999874901;28.962359600700427;54.75698576310159;10.657564781276122;7178
deepface;deepface;0.5775795190069821;0.545903195222972;0.4967320261437909;0.3973856209150326;0.8069776260902541;0.5362681340670337;0.18670115868829676;24.60150100159808;33.72004199809453;40.64792631697722;28.169406519921985;7178
