backend;backend_efectivo;exactitud;f1_macro;f1_dolor;f1_miedo;f1_alegria;f1_calma;mae_indice_malestar;latencia_mediana_ms;latencia_p95_ms;fps_equivalente;no_detectados_pct;n_muestras
mediapipe;mediapipe;0.5446748791517231;0.48030299241807706;0.304;0.2853127196064652;0.8076923076923076;0.49375;0.22154706161360013;16.781434998847544;20.93147979903733;59.58965964881278;10.657564781276122;7178
deepface;deepface;0.5775795190069821;0.545903195222972;0.4967320261437909;0.3973856209150326;0.8069776260902541;0.5362681340670337;0.18670115868829676;24.4678745038982;30.796740245932597;40.86991699424814;28.169406519921985;7178
